00:00:85:xx:xx:xx	00-00-85-xx-xx-xx	0000.85xx.xxxx
00:02:20:xx:xx:xx	00-02-20-xx-xx-xx	0002.20xx.xxxx
00:0F:A0:xx:xx:xx	00-0F-A0-xx-xx-xx	000F.A0xx.xxxx
00:1E:8F:xx:xx:xx	00-1E-8F-xx-xx-xx	001E.8Fxx.xxxx
00:30:C4:xx:xx:xx	00-30-C4-xx-xx-xx	0030.C4xx.xxxx
00:BB:C1:xx:xx:xx	00-BB-C1-xx-xx-xx	00BB.C1xx.xxxx
18:0C:AC:xx:xx:xx	18-0C-AC-xx-xx-xx	180C.ACxx.xxxx
2C:9E:FC:xx:xx:xx	2C-9E-FC-xx-xx-xx	2C9E.FCxx.xxxx
60:12:8B:xx:xx:xx	60-12-8B-xx-xx-xx	6012.8Bxx.xxxx
74:38:B7:xx:xx:xx	74-38-B7-xx-xx-xx	7438.B7xx.xxxx
74:BF:C0:xx:xx:xx	74-BF-C0-xx-xx-xx	74BF.C0xx.xxxx
84:BA:3B:xx:xx:xx	84-BA-3B-xx-xx-xx	84BA.3Bxx.xxxx
88:87:17:xx:xx:xx	88-87-17-xx-xx-xx	8887.17xx.xxxx
9C:32:CE:xx:xx:xx	9C-32-CE-xx-xx-xx	9C32.CExx.xxxx
D8:49:2F:xx:xx:xx	D8-49-2F-xx-xx-xx	D849.2Fxx.xxxx
F4:81:39:xx:xx:xx	F4-81-39-xx-xx-xx	F481.39xx.xxxx
F4:A9:97:xx:xx:xx	F4-A9-97-xx-xx-xx	F4A9.97xx.xxxx
F8:0D:60:xx:xx:xx	F8-0D-60-xx-xx-xx	F80D.60xx.xxxx
