00:01:E6:xx:xx:xx	00-01-E6-xx-xx-xx	0001.E6xx.xxxx
00:01:E7:xx:xx:xx	00-01-E7-xx-xx-xx	0001.E7xx.xxxx
00:02:A5:xx:xx:xx	00-02-A5-xx-xx-xx	0002.A5xx.xxxx
00:04:EA:xx:xx:xx	00-04-EA-xx-xx-xx	0004.EAxx.xxxx
00:08:02:xx:xx:xx	00-08-02-xx-xx-xx	0008.02xx.xxxx
00:08:83:xx:xx:xx	00-08-83-xx-xx-xx	0008.83xx.xxxx
00:08:C7:xx:xx:xx	00-08-C7-xx-xx-xx	0008.C7xx.xxxx
00:0A:57:xx:xx:xx	00-0A-57-xx-xx-xx	000A.57xx.xxxx
00:0B:CD:xx:xx:xx	00-0B-CD-xx-xx-xx	000B.CDxx.xxxx
00:0D:9D:xx:xx:xx	00-0D-9D-xx-xx-xx	000D.9Dxx.xxxx
00:0E:7F:xx:xx:xx	00-0E-7F-xx-xx-xx	000E.7Fxx.xxxx
00:0E:B3:xx:xx:xx	00-0E-B3-xx-xx-xx	000E.B3xx.xxxx
00:0F:20:xx:xx:xx	00-0F-20-xx-xx-xx	000F.20xx.xxxx
00:0F:61:xx:xx:xx	00-0F-61-xx-xx-xx	000F.61xx.xxxx
00:10:83:xx:xx:xx	00-10-83-xx-xx-xx	0010.83xx.xxxx
00:10:E3:xx:xx:xx	00-10-E3-xx-xx-xx	0010.E3xx.xxxx
00:11:0A:xx:xx:xx	00-11-0A-xx-xx-xx	0011.0Axx.xxxx
00:11:85:xx:xx:xx	00-11-85-xx-xx-xx	0011.85xx.xxxx
00:12:79:xx:xx:xx	00-12-79-xx-xx-xx	0012.79xx.xxxx
00:13:21:xx:xx:xx	00-13-21-xx-xx-xx	0013.21xx.xxxx
00:14:C2:xx:xx:xx	00-14-C2-xx-xx-xx	0014.C2xx.xxxx
00:15:60:xx:xx:xx	00-15-60-xx-xx-xx	0015.60xx.xxxx
00:16:35:xx:xx:xx	00-16-35-xx-xx-xx	0016.35xx.xxxx
00:16:B9:xx:xx:xx	00-16-B9-xx-xx-xx	0016.B9xx.xxxx
00:17:08:xx:xx:xx	00-17-08-xx-xx-xx	0017.08xx.xxxx
00:17:A4:xx:xx:xx	00-17-A4-xx-xx-xx	0017.A4xx.xxxx
00:18:71:xx:xx:xx	00-18-71-xx-xx-xx	0018.71xx.xxxx
00:18:FE:xx:xx:xx	00-18-FE-xx-xx-xx	0018.FExx.xxxx
00:19:BB:xx:xx:xx	00-19-BB-xx-xx-xx	0019.BBxx.xxxx
00:1A:4B:xx:xx:xx	00-1A-4B-xx-xx-xx	001A.4Bxx.xxxx
00:1B:3F:xx:xx:xx	00-1B-3F-xx-xx-xx	001B.3Fxx.xxxx
00:1B:78:xx:xx:xx	00-1B-78-xx-xx-xx	001B.78xx.xxxx
00:1C:C4:xx:xx:xx	00-1C-C4-xx-xx-xx	001C.C4xx.xxxx
00:1E:0B:xx:xx:xx	00-1E-0B-xx-xx-xx	001E.0Bxx.xxxx
00:1F:29:xx:xx:xx	00-1F-29-xx-xx-xx	001F.29xx.xxxx
00:21:5A:xx:xx:xx	00-21-5A-xx-xx-xx	0021.5Axx.xxxx
00:22:64:xx:xx:xx	00-22-64-xx-xx-xx	0022.64xx.xxxx
00:23:47:xx:xx:xx	00-23-47-xx-xx-xx	0023.47xx.xxxx
00:23:7D:xx:xx:xx	00-23-7D-xx-xx-xx	0023.7Dxx.xxxx
00:24:81:xx:xx:xx	00-24-81-xx-xx-xx	0024.81xx.xxxx
00:24:A8:xx:xx:xx	00-24-A8-xx-xx-xx	0024.A8xx.xxxx
00:25:61:xx:xx:xx	00-25-61-xx-xx-xx	0025.61xx.xxxx
00:25:B3:xx:xx:xx	00-25-B3-xx-xx-xx	0025.B3xx.xxxx
00:26:55:xx:xx:xx	00-26-55-xx-xx-xx	0026.55xx.xxxx
00:26:F1:xx:xx:xx	00-26-F1-xx-xx-xx	0026.F1xx.xxxx
00:30:6E:xx:xx:xx	00-30-6E-xx-xx-xx	0030.6Exx.xxxx
00:30:C1:xx:xx:xx	00-30-C1-xx-xx-xx	0030.C1xx.xxxx
00:50:8B:xx:xx:xx	00-50-8B-xx-xx-xx	0050.8Bxx.xxxx
00:60:B0:xx:xx:xx	00-60-B0-xx-xx-xx	0060.B0xx.xxxx
00:80:5F:xx:xx:xx	00-80-5F-xx-xx-xx	0080.5Fxx.xxxx
00:80:A0:xx:xx:xx	00-80-A0-xx-xx-xx	0080.A0xx.xxxx
00:9C:02:xx:xx:xx	00-9C-02-xx-xx-xx	009C.02xx.xxxx
08:00:09:xx:xx:xx	08-00-09-xx-xx-xx	0800.09xx.xxxx
08:2E:5F:xx:xx:xx	08-2E-5F-xx-xx-xx	082E.5Fxx.xxxx
10:1F:74:xx:xx:xx	10-1F-74-xx-xx-xx	101F.74xx.xxxx
