00:02:B3:xx:xx:xx	00-02-B3-xx-xx-xx	0002.B3xx.xxxx
00:03:47:xx:xx:xx	00-03-47-xx-xx-xx	0003.47xx.xxxx
00:04:23:xx:xx:xx	00-04-23-xx-xx-xx	0004.23xx.xxxx
00:07:E9:xx:xx:xx	00-07-E9-xx-xx-xx	0007.E9xx.xxxx
00:0C:F1:xx:xx:xx	00-0C-F1-xx-xx-xx	000C.F1xx.xxxx
00:0E:0C:xx:xx:xx	00-0E-0C-xx-xx-xx	000E.0Cxx.xxxx
00:0E:35:xx:xx:xx	00-0E-35-xx-xx-xx	000E.35xx.xxxx
00:11:11:xx:xx:xx	00-11-11-xx-xx-xx	0011.11xx.xxxx
00:11:75:xx:xx:xx	00-11-75-xx-xx-xx	0011.75xx.xxxx
00:12:F0:xx:xx:xx	00-12-F0-xx-xx-xx	0012.F0xx.xxxx
00:13:02:xx:xx:xx	00-13-02-xx-xx-xx	0013.02xx.xxxx
00:13:20:xx:xx:xx	00-13-20-xx-xx-xx	0013.20xx.xxxx
00:13:CE:xx:xx:xx	00-13-CE-xx-xx-xx	0013.CExx.xxxx
00:13:E8:xx:xx:xx	00-13-E8-xx-xx-xx	0013.E8xx.xxxx
00:15:00:xx:xx:xx	00-15-00-xx-xx-xx	0015.00xx.xxxx
00:15:17:xx:xx:xx	00-15-17-xx-xx-xx	0015.17xx.xxxx
00:16:6F:xx:xx:xx	00-16-6F-xx-xx-xx	0016.6Fxx.xxxx
00:16:76:xx:xx:xx	00-16-76-xx-xx-xx	0016.76xx.xxxx
00:16:EA:xx:xx:xx	00-16-EA-xx-xx-xx	0016.EAxx.xxxx
00:16:EB:xx:xx:xx	00-16-EB-xx-xx-xx	0016.EBxx.xxxx
00:18:DE:xx:xx:xx	00-18-DE-xx-xx-xx	0018.DExx.xxxx
00:19:D1:xx:xx:xx	00-19-D1-xx-xx-xx	0019.D1xx.xxxx
00:19:D2:xx:xx:xx	00-19-D2-xx-xx-xx	0019.D2xx.xxxx
00:1B:21:xx:xx:xx	00-1B-21-xx-xx-xx	001B.21xx.xxxx
00:1B:77:xx:xx:xx	00-1B-77-xx-xx-xx	001B.77xx.xxxx
00:1C:BF:xx:xx:xx	00-1C-BF-xx-xx-xx	001C.BFxx.xxxx
00:1C:C0:xx:xx:xx	00-1C-C0-xx-xx-xx	001C.C0xx.xxxx
00:1D:E0:xx:xx:xx	00-1D-E0-xx-xx-xx	001D.E0xx.xxxx
00:1D:E1:xx:xx:xx	00-1D-E1-xx-xx-xx	001D.E1xx.xxxx
00:1E:64:xx:xx:xx	00-1E-64-xx-xx-xx	001E.64xx.xxxx
00:1E:65:xx:xx:xx	00-1E-65-xx-xx-xx	001E.65xx.xxxx
00:1E:67:xx:xx:xx	00-1E-67-xx-xx-xx	001E.67xx.xxxx
00:1F:3B:xx:xx:xx	00-1F-3B-xx-xx-xx	001F.3Bxx.xxxx
00:1F:3C:xx:xx:xx	00-1F-3C-xx-xx-xx	001F.3Cxx.xxxx
00:20:7B:xx:xx:xx	00-20-7B-xx-xx-xx	0020.7Bxx.xxxx
00:21:5C:xx:xx:xx	00-21-5C-xx-xx-xx	0021.5Cxx.xxxx
00:21:5D:xx:xx:xx	00-21-5D-xx-xx-xx	0021.5Dxx.xxxx
00:21:6A:xx:xx:xx	00-21-6A-xx-xx-xx	0021.6Axx.xxxx
00:21:6B:xx:xx:xx	00-21-6B-xx-xx-xx	0021.6Bxx.xxxx
00:22:FA:xx:xx:xx	00-22-FA-xx-xx-xx	0022.FAxx.xxxx
00:22:FB:xx:xx:xx	00-22-FB-xx-xx-xx	0022.FBxx.xxxx
00:23:14:xx:xx:xx	00-23-14-xx-xx-xx	0023.14xx.xxxx
00:23:15:xx:xx:xx	00-23-15-xx-xx-xx	0023.15xx.xxxx
00:24:D6:xx:xx:xx	00-24-D6-xx-xx-xx	0024.D6xx.xxxx
00:24:D7:xx:xx:xx	00-24-D7-xx-xx-xx	0024.D7xx.xxxx
00:26:C6:xx:xx:xx	00-26-C6-xx-xx-xx	0026.C6xx.xxxx
00:26:C7:xx:xx:xx	00-26-C7-xx-xx-xx	0026.C7xx.xxxx
00:27:0E:xx:xx:xx	00-27-0E-xx-xx-xx	0027.0Exx.xxxx
00:27:10:xx:xx:xx	00-27-10-xx-xx-xx	0027.10xx.xxxx
