00:22:5F:xx:xx:xx	00-22-5F-xx-xx-xx	0022.5Fxx.xxxx
00:F4:8D:xx:xx:xx	00-F4-8D-xx-xx-xx	00F4.8Dxx.xxxx
18:CF:5E:xx:xx:xx	18-CF-5E-xx-xx-xx	18CF.5Exx.xxxx
1C:65:9D:xx:xx:xx	1C-65-9D-xx-xx-xx	1C65.9Dxx.xxxx
20:16:D8:xx:xx:xx	20-16-D8-xx-xx-xx	2016.D8xx.xxxx
20:68:9D:xx:xx:xx	20-68-9D-xx-xx-xx	2068.9Dxx.xxxx
24:FD:52:xx:xx:xx	24-FD-52-xx-xx-xx	24FD.52xx.xxxx
28:E3:47:xx:xx:xx	28-E3-47-xx-xx-xx	28E3.47xx.xxxx
2C:D0:5A:xx:xx:xx	2C-D0-5A-xx-xx-xx	2CD0.5Axx.xxxx
30:10:B3:xx:xx:xx	30-10-B3-xx-xx-xx	3010.B3xx.xxxx
30:52:CB:xx:xx:xx	30-52-CB-xx-xx-xx	3052.CBxx.xxxx
30:D1:6B:xx:xx:xx	30-D1-6B-xx-xx-xx	30D1.6Bxx.xxxx
3C:91:80:xx:xx:xx	3C-91-80-xx-xx-xx	3C91.80xx.xxxx
3C:95:09:xx:xx:xx	3C-95-09-xx-xx-xx	3C95.09xx.xxxx
3C:A0:67:xx:xx:xx	3C-A0-67-xx-xx-xx	3CA0.67xx.xxxx
40:F0:2F:xx:xx:xx	40-F0-2F-xx-xx-xx	40F0.2Fxx.xxxx
44:6D:57:xx:xx:xx	44-6D-57-xx-xx-xx	446D.57xx.xxxx
48:D2:24:xx:xx:xx	48-D2-24-xx-xx-xx	48D2.24xx.xxxx
50:5B:C2:xx:xx:xx	50-5B-C2-xx-xx-xx	505B.C2xx.xxxx
54:8C:A0:xx:xx:xx	54-8C-A0-xx-xx-xx	548C.A0xx.xxxx
58:00:E3:xx:xx:xx	58-00-E3-xx-xx-xx	5800.E3xx.xxxx
5C:93:A2:xx:xx:xx	5C-93-A2-xx-xx-xx	5C93.A2xx.xxxx
64:6E:69:xx:xx:xx	64-6E-69-xx-xx-xx	646E.69xx.xxxx
68:A3:C4:xx:xx:xx	68-A3-C4-xx-xx-xx	68A3.C4xx.xxxx
70:1A:04:xx:xx:xx	70-1A-04-xx-xx-xx	701A.04xx.xxxx
70:C9:4E:xx:xx:xx	70-C9-4E-xx-xx-xx	70C9.4Exx.xxxx
70:F1:A1:xx:xx:xx	70-F1-A1-xx-xx-xx	70F1.A1xx.xxxx
74:DE:2B:xx:xx:xx	74-DE-2B-xx-xx-xx	74DE.2Bxx.xxxx
74:DF:BF:xx:xx:xx	74-DF-BF-xx-xx-xx	74DF.BFxx.xxxx
74:E5:43:xx:xx:xx	74-E5-43-xx-xx-xx	74E5.43xx.xxxx
94:E9:79:xx:xx:xx	94-E9-79-xx-xx-xx	94E9.79xx.xxxx
98:22:EF:xx:xx:xx	98-22-EF-xx-xx-xx	9822.EFxx.xxxx
9C:B7:0D:xx:xx:xx	9C-B7-0D-xx-xx-xx	9CB7.0Dxx.xxxx
A4:DB:30:xx:xx:xx	A4-DB-30-xx-xx-xx	A4DB.30xx.xxxx
AC:B5:7D:xx:xx:xx	AC-B5-7D-xx-xx-xx	ACB5.7Dxx.xxxx
AC:E0:10:xx:xx:xx	AC-E0-10-xx-xx-xx	ACE0.10xx.xxxx
B0:05:94:xx:xx:xx	B0-05-94-xx-xx-xx	B005.94xx.xxxx
B8:86:87:xx:xx:xx	B8-86-87-xx-xx-xx	B886.87xx.xxxx
B8:EE:65:xx:xx:xx	B8-EE-65-xx-xx-xx	B8EE.65xx.xxxx
C8:FF:28:xx:xx:xx	C8-FF-28-xx-xx-xx	C8FF.28xx.xxxx
CC:B0:DA:xx:xx:xx	CC-B0-DA-xx-xx-xx	CCB0.DAxx.xxxx
D0:53:49:xx:xx:xx	D0-53-49-xx-xx-xx	D053.49xx.xxxx
D0:DF:9A:xx:xx:xx	D0-DF-9A-xx-xx-xx	D0DF.9Axx.xxxx
E8:2A:44:xx:xx:xx	E8-2A-44-xx-xx-xx	E82A.44xx.xxxx
E8:61:7E:xx:xx:xx	E8-61-7E-xx-xx-xx	E861.7Exx.xxxx
E8:C7:4F:xx:xx:xx	E8-C7-4F-xx-xx-xx	E8C7.4Fxx.xxxx
E8:D0:FC:xx:xx:xx	E8-D0-FC-xx-xx-xx	E8D0.FCxx.xxxx
F8:28:19:xx:xx:xx	F8-28-19-xx-xx-xx	F828.19xx.xxxx
F8:A2:D6:xx:xx:xx	F8-A2-D6-xx-xx-xx	F8A2.D6xx.xxxx
