00:00:F0:xx:xx:xx	00-00-F0-xx-xx-xx	0000.F0xx.xxxx
00:02:78:xx:xx:xx	00-02-78-xx-xx-xx	0002.78xx.xxxx
00:07:AB:xx:xx:xx	00-07-AB-xx-xx-xx	0007.ABxx.xxxx
00:0D:AE:xx:xx:xx	00-0D-AE-xx-xx-xx	000D.AExx.xxxx
00:12:47:xx:xx:xx	00-12-47-xx-xx-xx	0012.47xx.xxxx
00:12:FB:xx:xx:xx	00-12-FB-xx-xx-xx	0012.FBxx.xxxx
00:13:77:xx:xx:xx	00-13-77-xx-xx-xx	0013.77xx.xxxx
00:15:99:xx:xx:xx	00-15-99-xx-xx-xx	0015.99xx.xxxx
00:15:B9:xx:xx:xx	00-15-B9-xx-xx-xx	0015.B9xx.xxxx
00:16:32:xx:xx:xx	00-16-32-xx-xx-xx	0016.32xx.xxxx
00:16:6B:xx:xx:xx	00-16-6B-xx-xx-xx	0016.6Bxx.xxxx
00:16:6C:xx:xx:xx	00-16-6C-xx-xx-xx	0016.6Cxx.xxxx
00:16:DB:xx:xx:xx	00-16-DB-xx-xx-xx	0016.DBxx.xxxx
00:17:C9:xx:xx:xx	00-17-C9-xx-xx-xx	0017.C9xx.xxxx
00:17:D5:xx:xx:xx	00-17-D5-xx-xx-xx	0017.D5xx.xxxx
00:18:AF:xx:xx:xx	00-18-AF-xx-xx-xx	0018.AFxx.xxxx
00:1A:8A:xx:xx:xx	00-1A-8A-xx-xx-xx	001A.8Axx.xxxx
00:1B:98:xx:xx:xx	00-1B-98-xx-xx-xx	001B.98xx.xxxx
00:1C:43:xx:xx:xx	00-1C-43-xx-xx-xx	001C.43xx.xxxx
00:1D:25:xx:xx:xx	00-1D-25-xx-xx-xx	001D.25xx.xxxx
00:1D:F6:xx:xx:xx	00-1D-F6-xx-xx-xx	001D.F6xx.xxxx
00:1E:7D:xx:xx:xx	00-1E-7D-xx-xx-xx	001E.7Dxx.xxxx
00:1E:E1:xx:xx:xx	00-1E-E1-xx-xx-xx	001E.E1xx.xxxx
00:1E:E2:xx:xx:xx	00-1E-E2-xx-xx-xx	001E.E2xx.xxxx
00:1F:CC:xx:xx:xx	00-1F-CC-xx-xx-xx	001F.CCxx.xxxx
00:1F:CD:xx:xx:xx	00-1F-CD-xx-xx-xx	001F.CDxx.xxxx
00:21:19:xx:xx:xx	00-21-19-xx-xx-xx	0021.19xx.xxxx
00:21:4C:xx:xx:xx	00-21-4C-xx-xx-xx	0021.4Cxx.xxxx
00:21:D1:xx:xx:xx	00-21-D1-xx-xx-xx	0021.D1xx.xxxx
00:21:D2:xx:xx:xx	00-21-D2-xx-xx-xx	0021.D2xx.xxxx
00:23:39:xx:xx:xx	00-23-39-xx-xx-xx	0023.39xx.xxxx
00:23:3A:xx:xx:xx	00-23-3A-xx-xx-xx	0023.3Axx.xxxx
00:23:99:xx:xx:xx	00-23-99-xx-xx-xx	0023.99xx.xxxx
00:23:C2:xx:xx:xx	00-23-C2-xx-xx-xx	0023.C2xx.xxxx
00:23:D6:xx:xx:xx	00-23-D6-xx-xx-xx	0023.D6xx.xxxx
00:23:D7:xx:xx:xx	00-23-D7-xx-xx-xx	0023.D7xx.xxxx
00:24:54:xx:xx:xx	00-24-54-xx-xx-xx	0024.54xx.xxxx
00:24:90:xx:xx:xx	00-24-90-xx-xx-xx	0024.90xx.xxxx
00:24:91:xx:xx:xx	00-24-91-xx-xx-xx	0024.91xx.xxxx
00:24:E9:xx:xx:xx	00-24-E9-xx-xx-xx	0024.E9xx.xxxx
00:25:38:xx:xx:xx	00-25-38-xx-xx-xx	0025.38xx.xxxx
00:25:66:xx:xx:xx	00-25-66-xx-xx-xx	0025.66xx.xxxx
00:25:67:xx:xx:xx	00-25-67-xx-xx-xx	0025.67xx.xxxx
00:26:37:xx:xx:xx	00-26-37-xx-xx-xx	0026.37xx.xxxx
00:26:5D:xx:xx:xx	00-26-5D-xx-xx-xx	0026.5Dxx.xxxx
00:26:5F:xx:xx:xx	00-26-5F-xx-xx-xx	0026.5Fxx.xxxx
00:6F:64:xx:xx:xx	00-6F-64-xx-xx-xx	006F.64xx.xxxx
00:73:E0:xx:xx:xx	00-73-E0-xx-xx-xx	0073.E0xx.xxxx
00:7C:2D:xx:xx:xx	00-7C-2D-xx-xx-xx	007C.2Dxx.xxxx
00:87:01:xx:xx:xx	00-87-01-xx-xx-xx	0087.01xx.xxxx
00:B5:D0:xx:xx:xx	00-B5-D0-xx-xx-xx	00B5.D0xx.xxxx
00:BF:61:xx:xx:xx	00-BF-61-xx-xx-xx	00BF.61xx.xxxx
00:C3:F4:xx:xx:xx	00-C3-F4-xx-xx-xx	00C3.F4xx.xxxx
00:E0:64:xx:xx:xx	00-E0-64-xx-xx-xx	00E0.64xx.xxxx
00:E3:B2:xx:xx:xx	00-E3-B2-xx-xx-xx	00E3.B2xx.xxxx
00:F4:6F:xx:xx:xx	00-F4-6F-xx-xx-xx	00F4.6Fxx.xxxx
00:FA:21:xx:xx:xx	00-FA-21-xx-xx-xx	00FA.21xx.xxxx
04:18:0F:xx:xx:xx	04-18-0F-xx-xx-xx	0418.0Fxx.xxxx
04:1B:BA:xx:xx:xx	04-1B-BA-xx-xx-xx	041B.BAxx.xxxx
04:BA:8D:xx:xx:xx	04-BA-8D-xx-xx-xx	04BA.8Dxx.xxxx
04:D6:AA:xx:xx:xx	04-D6-AA-xx-xx-xx	04D6.AAxx.xxxx
04:FE:31:xx:xx:xx	04-FE-31-xx-xx-xx	04FE.31xx.xxxx
08:08:C2:xx:xx:xx	08-08-C2-xx-xx-xx	0808.C2xx.xxxx
08:21:EF:xx:xx:xx	08-21-EF-xx-xx-xx	0821.EFxx.xxxx
08:37:3D:xx:xx:xx	08-37-3D-xx-xx-xx	0837.3Dxx.xxxx
08:3D:88:xx:xx:xx	08-3D-88-xx-xx-xx	083D.88xx.xxxx
08:78:08:xx:xx:xx	08-78-08-xx-xx-xx	0878.08xx.xxxx
08:8C:2C:xx:xx:xx	08-8C-2C-xx-xx-xx	088C.2Cxx.xxxx
08:AE:D6:xx:xx:xx	08-AE-D6-xx-xx-xx	08AE.D6xx.xxxx
08:C5:E1:xx:xx:xx	08-C5-E1-xx-xx-xx	08C5.E1xx.xxxx
08:D4:2B:xx:xx:xx	08-D4-2B-xx-xx-xx	08D4.2Bxx.xxxx
08:EC:A9:xx:xx:xx	08-EC-A9-xx-xx-xx	08EC.A9xx.xxxx
08:EE:8B:xx:xx:xx	08-EE-8B-xx-xx-xx	08EE.8Bxx.xxxx
08:FC:88:xx:xx:xx	08-FC-88-xx-xx-xx	08FC.88xx.xxxx
08:FD:0E:xx:xx:xx	08-FD-0E-xx-xx-xx	08FD.0Exx.xxxx
0C:14:20:xx:xx:xx	0C-14-20-xx-xx-xx	0C14.20xx.xxxx
0C:71:5D:xx:xx:xx	0C-71-5D-xx-xx-xx	0C71.5Dxx.xxxx
0C:89:10:xx:xx:xx	0C-89-10-xx-xx-xx	0C89.10xx.xxxx
0C:A8:A7:xx:xx:xx	0C-A8-A7-xx-xx-xx	0CA8.A7xx.xxxx
0C:B3:19:xx:xx:xx	0C-B3-19-xx-xx-xx	0CB3.19xx.xxxx
0C:DF:A4:xx:xx:xx	0C-DF-A4-xx-xx-xx	0CDF.A4xx.xxxx
0C:E0:DC:xx:xx:xx	0C-E0-DC-xx-xx-xx	0CE0.DCxx.xxxx
10:07:B6:xx:xx:xx	10-07-B6-xx-xx-xx	1007.B6xx.xxxx
10:1D:C0:xx:xx:xx	10-1D-C0-xx-xx-xx	101D.C0xx.xxxx
10:30:47:xx:xx:xx	10-30-47-xx-xx-xx	1030.47xx.xxxx
10:3B:59:xx:xx:xx	10-3B-59-xx-xx-xx	103B.59xx.xxxx
10:77:B1:xx:xx:xx	10-77-B1-xx-xx-xx	1077.B1xx.xxxx
10:8E:E0:xx:xx:xx	10-8E-E0-xx-xx-xx	108E.E0xx.xxxx
10:92:66:xx:xx:xx	10-92-66-xx-xx-xx	1092.66xx.xxxx
10:D3:8A:xx:xx:xx	10-D3-8A-xx-xx-xx	10D3.8Axx.xxxx
10:D5:42:xx:xx:xx	10-D5-42-xx-xx-xx	10D5.42xx.xxxx
14:1F:78:xx:xx:xx	14-1F-78-xx-xx-xx	141F.78xx.xxxx
14:32:D1:xx:xx:xx	14-32-D1-xx-xx-xx	1432.D1xx.xxxx
14:49:E0:xx:xx:xx	14-49-E0-xx-xx-xx	1449.E0xx.xxxx
14:56:8E:xx:xx:xx	14-56-8E-xx-xx-xx	1456.8Exx.xxxx
14:89:FD:xx:xx:xx	14-89-FD-xx-xx-xx	1489.FDxx.xxxx
14:96:E5:xx:xx:xx	14-96-E5-xx-xx-xx	1496.E5xx.xxxx
14:9F:3C:xx:xx:xx	14-9F-3C-xx-xx-xx	149F.3Cxx.xxxx
14:A3:64:xx:xx:xx	14-A3-64-xx-xx-xx	14A3.64xx.xxxx
14:B4:84:xx:xx:xx	14-B4-84-xx-xx-xx	14B4.84xx.xxxx
14:BB:6E:xx:xx:xx	14-BB-6E-xx-xx-xx	14BB.6Exx.xxxx
14:F4:2A:xx:xx:xx	14-F4-2A-xx-xx-xx	14F4.2Axx.xxxx
18:16:C9:xx:xx:xx	18-16-C9-xx-xx-xx	1816.C9xx.xxxx
18:19:D6:xx:xx:xx	18-19-D6-xx-xx-xx	1819.D6xx.xxxx
18:1E:B0:xx:xx:xx	18-1E-B0-xx-xx-xx	181E.B0xx.xxxx
18:21:95:xx:xx:xx	18-21-95-xx-xx-xx	1821.95xx.xxxx
18:22:7E:xx:xx:xx	18-22-7E-xx-xx-xx	1822.7Exx.xxxx
18:26:66:xx:xx:xx	18-26-66-xx-xx-xx	1826.66xx.xxxx
18:3A:2D:xx:xx:xx	18-3A-2D-xx-xx-xx	183A.2Dxx.xxxx
18:3F:47:xx:xx:xx	18-3F-47-xx-xx-xx	183F.47xx.xxxx
18:46:17:xx:xx:xx	18-46-17-xx-xx-xx	1846.17xx.xxxx
18:67:B0:xx:xx:xx	18-67-B0-xx-xx-xx	1867.B0xx.xxxx
18:83:31:xx:xx:xx	18-83-31-xx-xx-xx	1883.31xx.xxxx
18:89:5B:xx:xx:xx	18-89-5B-xx-xx-xx	1889.5Bxx.xxxx
18:E2:C2:xx:xx:xx	18-E2-C2-xx-xx-xx	18E2.C2xx.xxxx
1C:23:2C:xx:xx:xx	1C-23-2C-xx-xx-xx	1C23.2Cxx.xxxx
1C:3A:DE:xx:xx:xx	1C-3A-DE-xx-xx-xx	1C3A.DExx.xxxx
1C:5A:3E:xx:xx:xx	1C-5A-3E-xx-xx-xx	1C5A.3Exx.xxxx
1C:62:B8:xx:xx:xx	1C-62-B8-xx-xx-xx	1C62.B8xx.xxxx
1C:66:AA:xx:xx:xx	1C-66-AA-xx-xx-xx	1C66.AAxx.xxxx
1C:AF:05:xx:xx:xx	1C-AF-05-xx-xx-xx	1CAF.05xx.xxxx
20:13:E0:xx:xx:xx	20-13-E0-xx-xx-xx	2013.E0xx.xxxx
20:2D:07:xx:xx:xx	20-2D-07-xx-xx-xx	202D.07xx.xxxx
20:32:6C:xx:xx:xx	20-32-6C-xx-xx-xx	2032.6Cxx.xxxx
20:55:31:xx:xx:xx	20-55-31-xx-xx-xx	2055.31xx.xxxx
20:5E:F7:xx:xx:xx	20-5E-F7-xx-xx-xx	205E.F7xx.xxxx
20:64:32:xx:xx:xx	20-64-32-xx-xx-xx	2064.32xx.xxxx
20:6E:9C:xx:xx:xx	20-6E-9C-xx-xx-xx	206E.9Cxx.xxxx
20:D3:90:xx:xx:xx	20-D3-90-xx-xx-xx	20D3.90xx.xxxx
20:D5:BF:xx:xx:xx	20-D5-BF-xx-xx-xx	20D5.BFxx.xxxx
20:DB:AB:xx:xx:xx	20-DB-AB-xx-xx-xx	20DB.ABxx.xxxx
24:18:1D:xx:xx:xx	24-18-1D-xx-xx-xx	2418.1Dxx.xxxx
24:4B:03:xx:xx:xx	24-4B-03-xx-xx-xx	244B.03xx.xxxx
24:4B:81:xx:xx:xx	24-4B-81-xx-xx-xx	244B.81xx.xxxx
24:92:0E:xx:xx:xx	24-92-0E-xx-xx-xx	2492.0Exx.xxxx
24:C6:96:xx:xx:xx	24-C6-96-xx-xx-xx	24C6.96xx.xxxx
24:DB:ED:xx:xx:xx	24-DB-ED-xx-xx-xx	24DB.EDxx.xxxx
