00:0C:6E:xx:xx:xx	00-0C-6E-xx-xx-xx	000C.6Exx.xxxx
00:0E:A6:xx:xx:xx	00-0E-A6-xx-xx-xx	000E.A6xx.xxxx
00:11:2F:xx:xx:xx	00-11-2F-xx-xx-xx	0011.2Fxx.xxxx
00:11:D8:xx:xx:xx	00-11-D8-xx-xx-xx	0011.D8xx.xxxx
00:13:D4:xx:xx:xx	00-13-D4-xx-xx-xx	0013.D4xx.xxxx
00:15:F2:xx:xx:xx	00-15-F2-xx-xx-xx	0015.F2xx.xxxx
00:17:31:xx:xx:xx	00-17-31-xx-xx-xx	0017.31xx.xxxx
00:18:F3:xx:xx:xx	00-18-F3-xx-xx-xx	0018.F3xx.xxxx
00:1A:92:xx:xx:xx	00-1A-92-xx-xx-xx	001A.92xx.xxxx
00:1B:FC:xx:xx:xx	00-1B-FC-xx-xx-xx	001B.FCxx.xxxx
00:1D:60:xx:xx:xx	00-1D-60-xx-xx-xx	001D.60xx.xxxx
00:1E:8C:xx:xx:xx	00-1E-8C-xx-xx-xx	001E.8Cxx.xxxx
00:1F:C6:xx:xx:xx	00-1F-C6-xx-xx-xx	001F.C6xx.xxxx
00:22:15:xx:xx:xx	00-22-15-xx-xx-xx	0022.15xx.xxxx
00:23:54:xx:xx:xx	00-23-54-xx-xx-xx	0023.54xx.xxxx
00:24:8C:xx:xx:xx	00-24-8C-xx-xx-xx	0024.8Cxx.xxxx
00:26:18:xx:xx:xx	00-26-18-xx-xx-xx	0026.18xx.xxxx
00:E0:18:xx:xx:xx	00-E0-18-xx-xx-xx	00E0.18xx.xxxx
04:92:26:xx:xx:xx	04-92-26-xx-xx-xx	0492.26xx.xxxx
04:D4:C4:xx:xx:xx	04-D4-C4-xx-xx-xx	04D4.C4xx.xxxx
04:D9:F5:xx:xx:xx	04-D9-F5-xx-xx-xx	04D9.F5xx.xxxx
08:60:6E:xx:xx:xx	08-60-6E-xx-xx-xx	0860.6Exx.xxxx
08:62:66:xx:xx:xx	08-62-66-xx-xx-xx	0862.66xx.xxxx
