00:06:5B:xx:xx:xx	00-06-5B-xx-xx-xx	0006.5Bxx.xxxx
00:08:74:xx:xx:xx	00-08-74-xx-xx-xx	0008.74xx.xxxx
00:0B:DB:xx:xx:xx	00-0B-DB-xx-xx-xx	000B.DBxx.xxxx
00:0D:56:xx:xx:xx	00-0D-56-xx-xx-xx	000D.56xx.xxxx
00:0F:1F:xx:xx:xx	00-0F-1F-xx-xx-xx	000F.1Fxx.xxxx
00:11:43:xx:xx:xx	00-11-43-xx-xx-xx	0011.43xx.xxxx
00:12:3F:xx:xx:xx	00-12-3F-xx-xx-xx	0012.3Fxx.xxxx
00:13:72:xx:xx:xx	00-13-72-xx-xx-xx	0013.72xx.xxxx
00:14:22:xx:xx:xx	00-14-22-xx-xx-xx	0014.22xx.xxxx
00:15:C5:xx:xx:xx	00-15-C5-xx-xx-xx	0015.C5xx.xxxx
00:16:F0:xx:xx:xx	00-16-F0-xx-xx-xx	0016.F0xx.xxxx
00:18:8B:xx:xx:xx	00-18-8B-xx-xx-xx	0018.8Bxx.xxxx
00:19:B9:xx:xx:xx	00-19-B9-xx-xx-xx	0019.B9xx.xxxx
00:1A:A0:xx:xx:xx	00-1A-A0-xx-xx-xx	001A.A0xx.xxxx
00:1C:23:xx:xx:xx	00-1C-23-xx-xx-xx	001C.23xx.xxxx
00:1D:09:xx:xx:xx	00-1D-09-xx-xx-xx	001D.09xx.xxxx
00:1E:4F:xx:xx:xx	00-1E-4F-xx-xx-xx	001E.4Fxx.xxxx
00:1E:C9:xx:xx:xx	00-1E-C9-xx-xx-xx	001E.C9xx.xxxx
00:21:70:xx:xx:xx	00-21-70-xx-xx-xx	0021.70xx.xxxx
00:21:9B:xx:xx:xx	00-21-9B-xx-xx-xx	0021.9Bxx.xxxx
00:22:19:xx:xx:xx	00-22-19-xx-xx-xx	0022.19xx.xxxx
00:23:AE:xx:xx:xx	00-23-AE-xx-xx-xx	0023.AExx.xxxx
00:24:E8:xx:xx:xx	00-24-E8-xx-xx-xx	0024.E8xx.xxxx
00:25:64:xx:xx:xx	00-25-64-xx-xx-xx	0025.64xx.xxxx
00:26:B9:xx:xx:xx	00-26-B9-xx-xx-xx	0026.B9xx.xxxx
00:B0:D0:xx:xx:xx	00-B0-D0-xx-xx-xx	00B0.D0xx.xxxx
00:C0:4F:xx:xx:xx	00-C0-4F-xx-xx-xx	00C0.4Fxx.xxxx
10:65:30:xx:xx:xx	10-65-30-xx-xx-xx	1065.30xx.xxxx
10:7D:1A:xx:xx:xx	10-7D-1A-xx-xx-xx	107D.1Axx.xxxx
10:98:36:xx:xx:xx	10-98-36-xx-xx-xx	1098.36xx.xxxx
14:18:77:xx:xx:xx	14-18-77-xx-xx-xx	1418.77xx.xxxx
14:9E:CF:xx:xx:xx	14-9E-CF-xx-xx-xx	149E.CFxx.xxxx
14:B3:1F:xx:xx:xx	14-B3-1F-xx-xx-xx	14B3.1Fxx.xxxx
14:FE:B5:xx:xx:xx	14-FE-B5-xx-xx-xx	14FE.B5xx.xxxx
18:03:73:xx:xx:xx	18-03-73-xx-xx-xx	1803.73xx.xxxx
18:66:DA:xx:xx:xx	18-66-DA-xx-xx-xx	1866.DAxx.xxxx
18:A9:9B:xx:xx:xx	18-A9-9B-xx-xx-xx	18A9.9Bxx.xxxx
