00:14:38:xx:xx:xx	00-14-38-xx-xx-xx	0014.38xx.xxxx
00:4E:35:xx:xx:xx	00-4E-35-xx-xx-xx	004E.35xx.xxxx
00:FD:45:xx:xx:xx	00-FD-45-xx-xx-xx	00FD.45xx.xxxx
04:09:73:xx:xx:xx	04-09-73-xx-xx-xx	0409.73xx.xxxx
08:97:34:xx:xx:xx	08-97-34-xx-xx-xx	0897.34xx.xxxx
08:F1:EA:xx:xx:xx	08-F1-EA-xx-xx-xx	08F1.EAxx.xxxx
14:02:EC:xx:xx:xx	14-02-EC-xx-xx-xx	1402.ECxx.xxxx
1C:98:EC:xx:xx:xx	1C-98-EC-xx-xx-xx	1C98.ECxx.xxxx
20:67:7C:xx:xx:xx	20-67-7C-xx-xx-xx	2067.7Cxx.xxxx
20:A6:CD:xx:xx:xx	20-A6-CD-xx-xx-xx	20A6.CDxx.xxxx
24:F2:7F:xx:xx:xx	24-F2-7F-xx-xx-xx	24F2.7Fxx.xxxx
34:FC:B9:xx:xx:xx	34-FC-B9-xx-xx-xx	34FC.B9xx.xxxx
38:17:C3:xx:xx:xx	38-17-C3-xx-xx-xx	3817.C3xx.xxxx
40:B9:3C:xx:xx:xx	40-B9-3C-xx-xx-xx	40B9.3Cxx.xxxx
44:48:C1:xx:xx:xx	44-48-C1-xx-xx-xx	4448.C1xx.xxxx
48:4A:E9:xx:xx:xx	48-4A-E9-xx-xx-xx	484A.E9xx.xxxx
48:DF:37:xx:xx:xx	48-DF-37-xx-xx-xx	48DF.37xx.xxxx
4C:AE:A3:xx:xx:xx	4C-AE-A3-xx-xx-xx	4CAE.A3xx.xxxx
54:80:28:xx:xx:xx	54-80-28-xx-xx-xx	5480.28xx.xxxx
70:10:6F:xx:xx:xx	70-10-6F-xx-xx-xx	7010.6Fxx.xxxx
80:30:E0:xx:xx:xx	80-30-E0-xx-xx-xx	8030.E0xx.xxxx
80:8D:B7:xx:xx:xx	80-8D-B7-xx-xx-xx	808D.B7xx.xxxx
90:4C:81:xx:xx:xx	90-4C-81-xx-xx-xx	904C.81xx.xxxx
94:18:82:xx:xx:xx	94-18-82-xx-xx-xx	9418.82xx.xxxx
94:3F:C2:xx:xx:xx	94-3F-C2-xx-xx-xx	943F.C2xx.xxxx
94:40:C9:xx:xx:xx	94-40-C9-xx-xx-xx	9440.C9xx.xxxx
94:F1:28:xx:xx:xx	94-F1-28-xx-xx-xx	94F1.28xx.xxxx
98:F2:B3:xx:xx:xx	98-F2-B3-xx-xx-xx	98F2.B3xx.xxxx
9C:8C:D8:xx:xx:xx	9C-8C-D8-xx-xx-xx	9C8C.D8xx.xxxx
9C:DC:71:xx:xx:xx	9C-DC-71-xx-xx-xx	9CDC.71xx.xxxx
A8:BD:27:xx:xx:xx	A8-BD-27-xx-xx-xx	A8BD.27xx.xxxx
B0:B8:67:xx:xx:xx	B0-B8-67-xx-xx-xx	B0B8.67xx.xxxx
B8:83:03:xx:xx:xx	B8-83-03-xx-xx-xx	B883.03xx.xxxx
C8:B5:AD:xx:xx:xx	C8-B5-AD-xx-xx-xx	C8B5.ADxx.xxxx
D0:67:26:xx:xx:xx	D0-67-26-xx-xx-xx	D067.26xx.xxxx
D8:94:03:xx:xx:xx	D8-94-03-xx-xx-xx	D894.03xx.xxxx
DC:68:0C:xx:xx:xx	DC-68-0C-xx-xx-xx	DC68.0Cxx.xxxx
E0:07:1B:xx:xx:xx	E0-07-1B-xx-xx-xx	E007.1Bxx.xxxx
E8:F7:24:xx:xx:xx	E8-F7-24-xx-xx-xx	E8F7.24xx.xxxx
EC:9B:8B:xx:xx:xx	EC-9B-8B-xx-xx-xx	EC9B.8Bxx.xxxx
EC:EB:B8:xx:xx:xx	EC-EB-B8-xx-xx-xx	ECEB.B8xx.xxxx
F4:03:43:xx:xx:xx	F4-03-43-xx-xx-xx	F403.43xx.xxxx
