00:03:93:xx:xx:xx	00-03-93-xx-xx-xx	0003.93xx.xxxx
00:05:02:xx:xx:xx	00-05-02-xx-xx-xx	0005.02xx.xxxx
00:0A:27:xx:xx:xx	00-0A-27-xx-xx-xx	000A.27xx.xxxx
00:0A:95:xx:xx:xx	00-0A-95-xx-xx-xx	000A.95xx.xxxx
00:0D:93:xx:xx:xx	00-0D-93-xx-xx-xx	000D.93xx.xxxx
00:10:FA:xx:xx:xx	00-10-FA-xx-xx-xx	0010.FAxx.xxxx
00:11:24:xx:xx:xx	00-11-24-xx-xx-xx	0011.24xx.xxxx
00:14:51:xx:xx:xx	00-14-51-xx-xx-xx	0014.51xx.xxxx
00:16:CB:xx:xx:xx	00-16-CB-xx-xx-xx	0016.CBxx.xxxx
00:17:F2:xx:xx:xx	00-17-F2-xx-xx-xx	0017.F2xx.xxxx
00:19:E3:xx:xx:xx	00-19-E3-xx-xx-xx	0019.E3xx.xxxx
00:1B:63:xx:xx:xx	00-1B-63-xx-xx-xx	001B.63xx.xxxx
00:1C:B3:xx:xx:xx	00-1C-B3-xx-xx-xx	001C.B3xx.xxxx
00:1D:4F:xx:xx:xx	00-1D-4F-xx-xx-xx	001D.4Fxx.xxxx
00:1E:52:xx:xx:xx	00-1E-52-xx-xx-xx	001E.52xx.xxxx
00:1E:C2:xx:xx:xx	00-1E-C2-xx-xx-xx	001E.C2xx.xxxx
00:1F:5B:xx:xx:xx	00-1F-5B-xx-xx-xx	001F.5Bxx.xxxx
00:1F:F3:xx:xx:xx	00-1F-F3-xx-xx-xx	001F.F3xx.xxxx
00:21:E9:xx:xx:xx	00-21-E9-xx-xx-xx	0021.E9xx.xxxx
00:22:41:xx:xx:xx	00-22-41-xx-xx-xx	0022.41xx.xxxx
00:23:12:xx:xx:xx	00-23-12-xx-xx-xx	0023.12xx.xxxx
00:23:32:xx:xx:xx	00-23-32-xx-xx-xx	0023.32xx.xxxx
00:23:6C:xx:xx:xx	00-23-6C-xx-xx-xx	0023.6Cxx.xxxx
00:23:DF:xx:xx:xx	00-23-DF-xx-xx-xx	0023.DFxx.xxxx
00:24:36:xx:xx:xx	00-24-36-xx-xx-xx	0024.36xx.xxxx
00:25:00:xx:xx:xx	00-25-00-xx-xx-xx	0025.00xx.xxxx
00:25:4B:xx:xx:xx	00-25-4B-xx-xx-xx	0025.4Bxx.xxxx
00:25:BC:xx:xx:xx	00-25-BC-xx-xx-xx	0025.BCxx.xxxx
00:26:08:xx:xx:xx	00-26-08-xx-xx-xx	0026.08xx.xxxx
00:26:4A:xx:xx:xx	00-26-4A-xx-xx-xx	0026.4Axx.xxxx
00:26:B0:xx:xx:xx	00-26-B0-xx-xx-xx	0026.B0xx.xxxx
00:26:BB:xx:xx:xx	00-26-BB-xx-xx-xx	0026.BBxx.xxxx
00:30:65:xx:xx:xx	00-30-65-xx-xx-xx	0030.65xx.xxxx
00:3E:E1:xx:xx:xx	00-3E-E1-xx-xx-xx	003E.E1xx.xxxx
00:50:E4:xx:xx:xx	00-50-E4-xx-xx-xx	0050.E4xx.xxxx
00:56:CD:xx:xx:xx	00-56-CD-xx-xx-xx	0056.CDxx.xxxx
00:5B:94:xx:xx:xx	00-5B-94-xx-xx-xx	005B.94xx.xxxx
00:61:71:xx:xx:xx	00-61-71-xx-xx-xx	0061.71xx.xxxx
00:6D:52:xx:xx:xx	00-6D-52-xx-xx-xx	006D.52xx.xxxx
00:88:65:xx:xx:xx	00-88-65-xx-xx-xx	0088.65xx.xxxx
00:A0:40:xx:xx:xx	00-A0-40-xx-xx-xx	00A0.40xx.xxxx
00:B3:62:xx:xx:xx	00-B3-62-xx-xx-xx	00B3.62xx.xxxx
00:C6:10:xx:xx:xx	00-C6-10-xx-xx-xx	00C6.10xx.xxxx
00:CD:FE:xx:xx:xx	00-CD-FE-xx-xx-xx	00CD.FExx.xxxx
00:DB:70:xx:xx:xx	00-DB-70-xx-xx-xx	00DB.70xx.xxxx
00:F4:B9:xx:xx:xx	00-F4-B9-xx-xx-xx	00F4.B9xx.xxxx
00:F7:6F:xx:xx:xx	00-F7-6F-xx-xx-xx	00F7.6Fxx.xxxx
04:0C:CE:xx:xx:xx	04-0C-CE-xx-xx-xx	040C.CExx.xxxx
04:15:52:xx:xx:xx	04-15-52-xx-xx-xx	0415.52xx.xxxx
04:1E:64:xx:xx:xx	04-1E-64-xx-xx-xx	041E.64xx.xxxx
04:26:65:xx:xx:xx	04-26-65-xx-xx-xx	0426.65xx.xxxx
04:48:9A:xx:xx:xx	04-48-9A-xx-xx-xx	0448.9Axx.xxxx
04:4B:ED:xx:xx:xx	04-4B-ED-xx-xx-xx	044B.EDxx.xxxx
04:52:F3:xx:xx:xx	04-52-F3-xx-xx-xx	0452.F3xx.xxxx
04:54:53:xx:xx:xx	04-54-53-xx-xx-xx	0454.53xx.xxxx
04:69:F8:xx:xx:xx	04-69-F8-xx-xx-xx	0469.F8xx.xxxx
04:D3:CF:xx:xx:xx	04-D3-CF-xx-xx-xx	04D3.CFxx.xxxx
04:DB:56:xx:xx:xx	04-DB-56-xx-xx-xx	04DB.56xx.xxxx
04:E5:36:xx:xx:xx	04-E5-36-xx-xx-xx	04E5.36xx.xxxx
04:F1:3E:xx:xx:xx	04-F1-3E-xx-xx-xx	04F1.3Exx.xxxx
04:F7:E4:xx:xx:xx	04-F7-E4-xx-xx-xx	04F7.E4xx.xxxx
08:00:07:xx:xx:xx	08-00-07-xx-xx-xx	0800.07xx.xxxx
08:66:98:xx:xx:xx	08-66-98-xx-xx-xx	0866.98xx.xxxx
08:6D:41:xx:xx:xx	08-6D-41-xx-xx-xx	086D.41xx.xxxx
08:70:45:xx:xx:xx	08-70-45-xx-xx-xx	0870.45xx.xxxx
08:74:02:xx:xx:xx	08-74-02-xx-xx-xx	0874.02xx.xxxx
08:E6:89:xx:xx:xx	08-E6-89-xx-xx-xx	08E6.89xx.xxxx
08:F4:AB:xx:xx:xx	08-F4-AB-xx-xx-xx	08F4.ABxx.xxxx
08:F6:9C:xx:xx:xx	08-F6-9C-xx-xx-xx	08F6.9Cxx.xxxx
0C:15:39:xx:xx:xx	0C-15-39-xx-xx-xx	0C15.39xx.xxxx
0C:30:21:xx:xx:xx	0C-30-21-xx-xx-xx	0C30.21xx.xxxx
0C:3E:9F:xx:xx:xx	0C-3E-9F-xx-xx-xx	0C3E.9Fxx.xxxx
0C:4D:E9:xx:xx:xx	0C-4D-E9-xx-xx-xx	0C4D.E9xx.xxxx
0C:51:01:xx:xx:xx	0C-51-01-xx-xx-xx	0C51.01xx.xxxx
