00:05:5D:xx:xx:xx	00-05-5D-xx-xx-xx	0005.5Dxx.xxxx
00:0D:88:xx:xx:xx	00-0D-88-xx-xx-xx	000D.88xx.xxxx
00:0F:3D:xx:xx:xx	00-0F-3D-xx-xx-xx	000F.3Dxx.xxxx
00:11:95:xx:xx:xx	00-11-95-xx-xx-xx	0011.95xx.xxxx
00:13:46:xx:xx:xx	00-13-46-xx-xx-xx	0013.46xx.xxxx
00:15:E9:xx:xx:xx	00-15-E9-xx-xx-xx	0015.E9xx.xxxx
00:17:9A:xx:xx:xx	00-17-9A-xx-xx-xx	0017.9Axx.xxxx
00:19:5B:xx:xx:xx	00-19-5B-xx-xx-xx	0019.5Bxx.xxxx
00:1B:11:xx:xx:xx	00-1B-11-xx-xx-xx	001B.11xx.xxxx
00:1C:F0:xx:xx:xx	00-1C-F0-xx-xx-xx	001C.F0xx.xxxx
00:1E:58:xx:xx:xx	00-1E-58-xx-xx-xx	001E.58xx.xxxx
00:21:91:xx:xx:xx	00-21-91-xx-xx-xx	0021.91xx.xxxx
00:22:B0:xx:xx:xx	00-22-B0-xx-xx-xx	0022.B0xx.xxxx
00:24:01:xx:xx:xx	00-24-01-xx-xx-xx	0024.01xx.xxxx
00:26:5A:xx:xx:xx	00-26-5A-xx-xx-xx	0026.5Axx.xxxx
00:50:BA:xx:xx:xx	00-50-BA-xx-xx-xx	0050.BAxx.xxxx
00:80:C8:xx:xx:xx	00-80-C8-xx-xx-xx	0080.C8xx.xxxx
00:AD:24:xx:xx:xx	00-AD-24-xx-xx-xx	00AD.24xx.xxxx
0C:B6:D2:xx:xx:xx	0C-B6-D2-xx-xx-xx	0CB6.D2xx.xxxx
10:62:EB:xx:xx:xx	10-62-EB-xx-xx-xx	1062.EBxx.xxxx
10:BE:F5:xx:xx:xx	10-BE-F5-xx-xx-xx	10BE.F5xx.xxxx
14:D6:4D:xx:xx:xx	14-D6-4D-xx-xx-xx	14D6.4Dxx.xxxx
18:0F:76:xx:xx:xx	18-0F-76-xx-xx-xx	180F.76xx.xxxx
1C:5F:2B:xx:xx:xx	1C-5F-2B-xx-xx-xx	1C5F.2Bxx.xxxx
1C:7E:E5:xx:xx:xx	1C-7E-E5-xx-xx-xx	1C7E.E5xx.xxxx
1C:AF:F7:xx:xx:xx	1C-AF-F7-xx-xx-xx	1CAF.F7xx.xxxx
1C:BD:B9:xx:xx:xx	1C-BD-B9-xx-xx-xx	1CBD.B9xx.xxxx
28:10:7B:xx:xx:xx	28-10-7B-xx-xx-xx	2810.7Bxx.xxxx
28:3B:82:xx:xx:xx	28-3B-82-xx-xx-xx	283B.82xx.xxxx
34:08:04:xx:xx:xx	34-08-04-xx-xx-xx	3408.04xx.xxxx
3C:1E:04:xx:xx:xx	3C-1E-04-xx-xx-xx	3C1E.04xx.xxxx
40:9B:CD:xx:xx:xx	40-9B-CD-xx-xx-xx	409B.CDxx.xxxx
