00:18:82:xx:xx:xx	00-18-82-xx-xx-xx	0018.82xx.xxxx
00:1E:10:xx:xx:xx	00-1E-10-xx-xx-xx	001E.10xx.xxxx
00:25:68:xx:xx:xx	00-25-68-xx-xx-xx	0025.68xx.xxxx
00:25:9E:xx:xx:xx	00-25-9E-xx-xx-xx	0025.9Exx.xxxx
00:2E:C7:xx:xx:xx	00-2E-C7-xx-xx-xx	002E.C7xx.xxxx
00:34:FE:xx:xx:xx	00-34-FE-xx-xx-xx	0034.FExx.xxxx
00:46:4B:xx:xx:xx	00-46-4B-xx-xx-xx	0046.4Bxx.xxxx
00:5A:13:xx:xx:xx	00-5A-13-xx-xx-xx	005A.13xx.xxxx
00:66:4B:xx:xx:xx	00-66-4B-xx-xx-xx	0066.4Bxx.xxxx
00:9A:CD:xx:xx:xx	00-9A-CD-xx-xx-xx	009A.CDxx.xxxx
00:BE:3B:xx:xx:xx	00-BE-3B-xx-xx-xx	00BE.3Bxx.xxxx
00:E0:FC:xx:xx:xx	00-E0-FC-xx-xx-xx	00E0.FCxx.xxxx
00:F8:1C:xx:xx:xx	00-F8-1C-xx-xx-xx	00F8.1Cxx.xxxx
04:02:1F:xx:xx:xx	04-02-1F-xx-xx-xx	0402.1Fxx.xxxx
04:25:C5:xx:xx:xx	04-25-C5-xx-xx-xx	0425.C5xx.xxxx
04:27:58:xx:xx:xx	04-27-58-xx-xx-xx	0427.58xx.xxxx
04:33:89:xx:xx:xx	04-33-89-xx-xx-xx	0433.89xx.xxxx
04:4F:4C:xx:xx:xx	04-4F-4C-xx-xx-xx	044F.4Cxx.xxxx
04:75:03:xx:xx:xx	04-75-03-xx-xx-xx	0475.03xx.xxxx
04:79:70:xx:xx:xx	04-79-70-xx-xx-xx	0479.70xx.xxxx
04:88:5F:xx:xx:xx	04-88-5F-xx-xx-xx	0488.5Fxx.xxxx
04:9F:CA:xx:xx:xx	04-9F-CA-xx-xx-xx	049F.CAxx.xxxx
04:B0:E7:xx:xx:xx	04-B0-E7-xx-xx-xx	04B0.E7xx.xxxx
04:BD:70:xx:xx:xx	04-BD-70-xx-xx-xx	04BD.70xx.xxxx
