00:03:FF:xx:xx:xx	00-03-FF-xx-xx-xx	0003.FFxx.xxxx
00:0D:3A:xx:xx:xx	00-0D-3A-xx-xx-xx	000D.3Axx.xxxx
00:12:5A:xx:xx:xx	00-12-5A-xx-xx-xx	0012.5Axx.xxxx
00:15:5D:xx:xx:xx	00-15-5D-xx-xx-xx	0015.5Dxx.xxxx
00:17:FA:xx:xx:xx	00-17-FA-xx-xx-xx	0017.FAxx.xxxx
00:1D:D8:xx:xx:xx	00-1D-D8-xx-xx-xx	001D.D8xx.xxxx
00:22:48:xx:xx:xx	00-22-48-xx-xx-xx	0022.48xx.xxxx
00:25:AE:xx:xx:xx	00-25-AE-xx-xx-xx	0025.AExx.xxxx
00:50:F2:xx:xx:xx	00-50-F2-xx-xx-xx	0050.F2xx.xxxx
0C:41:3E:xx:xx:xx	0C-41-3E-xx-xx-xx	0C41.3Exx.xxxx
0C:E7:25:xx:xx:xx	0C-E7-25-xx-xx-xx	0CE7.25xx.xxxx
10:2F:6B:xx:xx:xx	10-2F-6B-xx-xx-xx	102F.6Bxx.xxxx
14:9A:10:xx:xx:xx	14-9A-10-xx-xx-xx	149A.10xx.xxxx
20:62:74:xx:xx:xx	20-62-74-xx-xx-xx	2062.74xx.xxxx
20:A9:9B:xx:xx:xx	20-A9-9B-xx-xx-xx	20A9.9Bxx.xxxx
28:16:A8:xx:xx:xx	28-16-A8-xx-xx-xx	2816.A8xx.xxxx
28:18:78:xx:xx:xx	28-18-78-xx-xx-xx	2818.78xx.xxxx
2C:29:97:xx:xx:xx	2C-29-97-xx-xx-xx	2C29.97xx.xxxx
2C:54:91:xx:xx:xx	2C-54-91-xx-xx-xx	2C54.91xx.xxxx
30:0D:43:xx:xx:xx	30-0D-43-xx-xx-xx	300D.43xx.xxxx
30:59:B7:xx:xx:xx	30-59-B7-xx-xx-xx	3059.B7xx.xxxx
38:25:6B:xx:xx:xx	38-25-6B-xx-xx-xx	3825.6Bxx.xxxx
38:F2:3E:xx:xx:xx	38-F2-3E-xx-xx-xx	38F2.3Exx.xxxx
3C:83:75:xx:xx:xx	3C-83-75-xx-xx-xx	3C83.75xx.xxxx
48:50:73:xx:xx:xx	48-50-73-xx-xx-xx	4850.73xx.xxxx
48:86:E8:xx:xx:xx	48-86-E8-xx-xx-xx	4886.E8xx.xxxx
4C:0B:BE:xx:xx:xx	4C-0B-BE-xx-xx-xx	4C0B.BExx.xxxx
50:1A:C5:xx:xx:xx	50-1A-C5-xx-xx-xx	501A.C5xx.xxxx
58:82:A8:xx:xx:xx	58-82-A8-xx-xx-xx	5882.A8xx.xxxx
5C:BA:37:xx:xx:xx	5C-BA-37-xx-xx-xx	5CBA.37xx.xxxx
5C:CA:1A:xx:xx:xx	5C-CA-1A-xx-xx-xx	5CCA.1Axx.xxxx
60:45:BD:xx:xx:xx	60-45-BD-xx-xx-xx	6045.BDxx.xxxx
60:7E:DD:xx:xx:xx	60-7E-DD-xx-xx-xx	607E.DDxx.xxxx
6C:24:83:xx:xx:xx	6C-24-83-xx-xx-xx	6C24.83xx.xxxx
6C:27:79:xx:xx:xx	6C-27-79-xx-xx-xx	6C27.79xx.xxxx
6C:8F:B5:xx:xx:xx	6C-8F-B5-xx-xx-xx	6C8F.B5xx.xxxx
70:BC:10:xx:xx:xx	70-BC-10-xx-xx-xx	70BC.10xx.xxxx
74:E2:8C:xx:xx:xx	74-E2-8C-xx-xx-xx	74E2.8Cxx.xxxx
7C:1E:52:xx:xx:xx	7C-1E-52-xx-xx-xx	7C1E.52xx.xxxx
7C:ED:8D:xx:xx:xx	7C-ED-8D-xx-xx-xx	7CED.8Dxx.xxxx
80:C5:E6:xx:xx:xx	80-C5-E6-xx-xx-xx	80C5.E6xx.xxxx
84:63:D6:xx:xx:xx	84-63-D6-xx-xx-xx	8463.D6xx.xxxx
94:9A:A9:xx:xx:xx	94-9A-A9-xx-xx-xx	949A.A9xx.xxxx
98:5F:D3:xx:xx:xx	98-5F-D3-xx-xx-xx	985F.D3xx.xxxx
9C:6C:15:xx:xx:xx	9C-6C-15-xx-xx-xx	9C6C.15xx.xxxx
9C:AA:1B:xx:xx:xx	9C-AA-1B-xx-xx-xx	9CAA.1Bxx.xxxx
A4:51:6F:xx:xx:xx	A4-51-6F-xx-xx-xx	A451.6Fxx.xxxx
B4:AE:2B:xx:xx:xx	B4-AE-2B-xx-xx-xx	B4AE.2Bxx.xxxx
B4:E1:C4:xx:xx:xx	B4-E1-C4-xx-xx-xx	B4E1.C4xx.xxxx
B8:31:B5:xx:xx:xx	B8-31-B5-xx-xx-xx	B831.B5xx.xxxx
B8:4F:D5:xx:xx:xx	B8-4F-D5-xx-xx-xx	B84F.D5xx.xxxx
BC:83:85:xx:xx:xx	BC-83-85-xx-xx-xx	BC83.85xx.xxxx
C0:33:5E:xx:xx:xx	C0-33-5E-xx-xx-xx	C033.5Exx.xxxx
C4:9D:ED:xx:xx:xx	C4-9D-ED-xx-xx-xx	C49D.EDxx.xxxx
C8:3F:26:xx:xx:xx	C8-3F-26-xx-xx-xx	C83F.26xx.xxxx
D0:92:9E:xx:xx:xx	D0-92-9E-xx-xx-xx	D092.9Exx.xxxx
D4:8F:33:xx:xx:xx	D4-8F-33-xx-xx-xx	D48F.33xx.xxxx
DC:B4:C4:xx:xx:xx	DC-B4-C4-xx-xx-xx	DCB4.C4xx.xxxx
E4:98:D1:xx:xx:xx	E4-98-D1-xx-xx-xx	E498.D1xx.xxxx
EC:59:E7:xx:xx:xx	EC-59-E7-xx-xx-xx	EC59.E7xx.xxxx
EC:83:50:xx:xx:xx	EC-83-50-xx-xx-xx	EC83.50xx.xxxx
F0:1D:BC:xx:xx:xx	F0-1D-BC-xx-xx-xx	F01D.BCxx.xxxx
F0:6E:0B:xx:xx:xx	F0-6E-0B-xx-xx-xx	F06E.0Bxx.xxxx
