00:0A:EB:xx:xx:xx	00-0A-EB-xx-xx-xx	000A.EBxx.xxxx
00:14:78:xx:xx:xx	00-14-78-xx-xx-xx	0014.78xx.xxxx
00:19:E0:xx:xx:xx	00-19-E0-xx-xx-xx	0019.E0xx.xxxx
00:1D:0F:xx:xx:xx	00-1D-0F-xx-xx-xx	001D.0Fxx.xxxx
00:21:27:xx:xx:xx	00-21-27-xx-xx-xx	0021.27xx.xxxx
00:23:CD:xx:xx:xx	00-23-CD-xx-xx-xx	0023.CDxx.xxxx
00:25:86:xx:xx:xx	00-25-86-xx-xx-xx	0025.86xx.xxxx
00:27:19:xx:xx:xx	00-27-19-xx-xx-xx	0027.19xx.xxxx
08:1F:71:xx:xx:xx	08-1F-71-xx-xx-xx	081F.71xx.xxxx
08:57:00:xx:xx:xx	08-57-00-xx-xx-xx	0857.00xx.xxxx
0C:4B:54:xx:xx:xx	0C-4B-54-xx-xx-xx	0C4B.54xx.xxxx
0C:72:2C:xx:xx:xx	0C-72-2C-xx-xx-xx	0C72.2Cxx.xxxx
0C:80:63:xx:xx:xx	0C-80-63-xx-xx-xx	0C80.63xx.xxxx
0C:82:68:xx:xx:xx	0C-82-68-xx-xx-xx	0C82.68xx.xxxx
10:FE:ED:xx:xx:xx	10-FE-ED-xx-xx-xx	10FE.EDxx.xxxx
14:75:90:xx:xx:xx	14-75-90-xx-xx-xx	1475.90xx.xxxx
14:86:92:xx:xx:xx	14-86-92-xx-xx-xx	1486.92xx.xxxx
14:CC:20:xx:xx:xx	14-CC-20-xx-xx-xx	14CC.20xx.xxxx
14:CF:92:xx:xx:xx	14-CF-92-xx-xx-xx	14CF.92xx.xxxx
14:E6:E4:xx:xx:xx	14-E6-E4-xx-xx-xx	14E6.E4xx.xxxx
18:A6:F7:xx:xx:xx	18-A6-F7-xx-xx-xx	18A6.F7xx.xxxx
18:D6:C7:xx:xx:xx	18-D6-C7-xx-xx-xx	18D6.C7xx.xxxx
1C:44:19:xx:xx:xx	1C-44-19-xx-xx-xx	1C44.19xx.xxxx
1C:FA:68:xx:xx:xx	1C-FA-68-xx-xx-xx	1CFA.68xx.xxxx
20:6B:E7:xx:xx:xx	20-6B-E7-xx-xx-xx	206B.E7xx.xxxx
20:DC:E6:xx:xx:xx	20-DC-E6-xx-xx-xx	20DC.E6xx.xxxx
24:69:68:xx:xx:xx	24-69-68-xx-xx-xx	2469.68xx.xxxx
28:2C:B2:xx:xx:xx	28-2C-B2-xx-xx-xx	282C.B2xx.xxxx
28:EE:52:xx:xx:xx	28-EE-52-xx-xx-xx	28EE.52xx.xxxx
30:B4:9E:xx:xx:xx	30-B4-9E-xx-xx-xx	30B4.9Exx.xxxx
30:B5:C2:xx:xx:xx	30-B5-C2-xx-xx-xx	30B5.C2xx.xxxx
30:FC:68:xx:xx:xx	30-FC-68-xx-xx-xx	30FC.68xx.xxxx
34:96:72:xx:xx:xx	34-96-72-xx-xx-xx	3496.72xx.xxxx
34:E8:94:xx:xx:xx	34-E8-94-xx-xx-xx	34E8.94xx.xxxx
38:83:45:xx:xx:xx	38-83-45-xx-xx-xx	3883.45xx.xxxx
3C:46:D8:xx:xx:xx	3C-46-D8-xx-xx-xx	3C46.D8xx.xxxx
40:16:9F:xx:xx:xx	40-16-9F-xx-xx-xx	4016.9Fxx.xxxx
40:3F:8C:xx:xx:xx	40-3F-8C-xx-xx-xx	403F.8Cxx.xxxx
44:B3:2D:xx:xx:xx	44-B3-2D-xx-xx-xx	44B3.2Dxx.xxxx
48:0E:EC:xx:xx:xx	48-0E-EC-xx-xx-xx	480E.ECxx.xxxx
48:7D:2E:xx:xx:xx	48-7D-2E-xx-xx-xx	487D.2Exx.xxxx
50:3E:AA:xx:xx:xx	50-3E-AA-xx-xx-xx	503E.AAxx.xxxx
50:BD:5F:xx:xx:xx	50-BD-5F-xx-xx-xx	50BD.5Fxx.xxxx
50:C7:BF:xx:xx:xx	50-C7-BF-xx-xx-xx	50C7.BFxx.xxxx
50:FA:84:xx:xx:xx	50-FA-84-xx-xx-xx	50FA.84xx.xxxx
54:75:95:xx:xx:xx	54-75-95-xx-xx-xx	5475.95xx.xxxx
54:A7:03:xx:xx:xx	54-A7-03-xx-xx-xx	54A7.03xx.xxxx
54:C8:0F:xx:xx:xx	54-C8-0F-xx-xx-xx	54C8.0Fxx.xxxx
54:E6:FC:xx:xx:xx	54-E6-FC-xx-xx-xx	54E6.FCxx.xxxx
