00:9E:C8:xx:xx:xx	00-9E-C8-xx-xx-xx	009E.C8xx.xxxx
00:EC:0A:xx:xx:xx	00-EC-0A-xx-xx-xx	00EC.0Axx.xxxx
04:B1:67:xx:xx:xx	04-B1-67-xx-xx-xx	04B1.67xx.xxxx
04:CF:8C:xx:xx:xx	04-CF-8C-xx-xx-xx	04CF.8Cxx.xxxx
04:D1:3A:xx:xx:xx	04-D1-3A-xx-xx-xx	04D1.3Axx.xxxx
04:E5:98:xx:xx:xx	04-E5-98-xx-xx-xx	04E5.98xx.xxxx
08:25:25:xx:xx:xx	08-25-25-xx-xx-xx	0825.25xx.xxxx
0C:1D:AF:xx:xx:xx	0C-1D-AF-xx-xx-xx	0C1D.AFxx.xxxx
0C:98:38:xx:xx:xx	0C-98-38-xx-xx-xx	0C98.38xx.xxxx
0C:F3:46:xx:xx:xx	0C-F3-46-xx-xx-xx	0CF3.46xx.xxxx
10:2A:B3:xx:xx:xx	10-2A-B3-xx-xx-xx	102A.B3xx.xxxx
14:F6:5A:xx:xx:xx	14-F6-5A-xx-xx-xx	14F6.5Axx.xxxx
18:01:F1:xx:xx:xx	18-01-F1-xx-xx-xx	1801.F1xx.xxxx
18:59:36:xx:xx:xx	18-59-36-xx-xx-xx	1859.36xx.xxxx
18:F0:E4:xx:xx:xx	18-F0-E4-xx-xx-xx	18F0.E4xx.xxxx
20:34:FB:xx:xx:xx	20-34-FB-xx-xx-xx	2034.FBxx.xxxx
20:47:DA:xx:xx:xx	20-47-DA-xx-xx-xx	2047.DAxx.xxxx
20:82:C0:xx:xx:xx	20-82-C0-xx-xx-xx	2082.C0xx.xxxx
20:A6:0C:xx:xx:xx	20-A6-0C-xx-xx-xx	20A6.0Cxx.xxxx
20:F4:78:xx:xx:xx	20-F4-78-xx-xx-xx	20F4.78xx.xxxx
28:6C:07:xx:xx:xx	28-6C-07-xx-xx-xx	286C.07xx.xxxx
28:E3:1F:xx:xx:xx	28-E3-1F-xx-xx-xx	28E3.1Fxx.xxxx
34:80:B3:xx:xx:xx	34-80-B3-xx-xx-xx	3480.B3xx.xxxx
34:CE:00:xx:xx:xx	34-CE-00-xx-xx-xx	34CE.00xx.xxxx
38:A4:ED:xx:xx:xx	38-A4-ED-xx-xx-xx	38A4.EDxx.xxxx
38:E6:0A:xx:xx:xx	38-E6-0A-xx-xx-xx	38E6.0Axx.xxxx
3C:BD:3E:xx:xx:xx	3C-BD-3E-xx-xx-xx	3CBD.3Exx.xxxx
40:31:3C:xx:xx:xx	40-31-3C-xx-xx-xx	4031.3Cxx.xxxx
48:2C:A0:xx:xx:xx	48-2C-A0-xx-xx-xx	482C.A0xx.xxxx
48:FD:A3:xx:xx:xx	48-FD-A3-xx-xx-xx	48FD.A3xx.xxxx
4C:49:E3:xx:xx:xx	4C-49-E3-xx-xx-xx	4C49.E3xx.xxxx
50:64:2B:xx:xx:xx	50-64-2B-xx-xx-xx	5064.2Bxx.xxxx
50:8F:4C:xx:xx:xx	50-8F-4C-xx-xx-xx	508F.4Cxx.xxxx
50:A0:09:xx:xx:xx	50-A0-09-xx-xx-xx	50A0.09xx.xxxx
50:EC:50:xx:xx:xx	50-EC-50-xx-xx-xx	50EC.50xx.xxxx
58:44:98:xx:xx:xx	58-44-98-xx-xx-xx	5844.98xx.xxxx
60:AB:67:xx:xx:xx	60-AB-67-xx-xx-xx	60AB.67xx.xxxx
64:09:80:xx:xx:xx	64-09-80-xx-xx-xx	6409.80xx.xxxx
64:B4:73:xx:xx:xx	64-B4-73-xx-xx-xx	64B4.73xx.xxxx
64:CC:2E:xx:xx:xx	64-CC-2E-xx-xx-xx	64CC.2Exx.xxxx
68:DF:DD:xx:xx:xx	68-DF-DD-xx-xx-xx	68DF.DDxx.xxxx
70:3A:51:xx:xx:xx	70-3A-51-xx-xx-xx	703A.51xx.xxxx
70:BB:E9:xx:xx:xx	70-BB-E9-xx-xx-xx	70BB.E9xx.xxxx
74:23:44:xx:xx:xx	74-23-44-xx-xx-xx	7423.44xx.xxxx
74:51:BA:xx:xx:xx	74-51-BA-xx-xx-xx	7451.BAxx.xxxx
78:02:F8:xx:xx:xx	78-02-F8-xx-xx-xx	7802.F8xx.xxxx
78:11:DC:xx:xx:xx	78-11-DC-xx-xx-xx	7811.DCxx.xxxx
7C:03:5E:xx:xx:xx	7C-03-5E-xx-xx-xx	7C03.5Exx.xxxx
7C:03:AB:xx:xx:xx	7C-03-AB-xx-xx-xx	7C03.ABxx.xxxx
7C:1D:D9:xx:xx:xx	7C-1D-D9-xx-xx-xx	7C1D.D9xx.xxxx
7C:49:EB:xx:xx:xx	7C-49-EB-xx-xx-xx	7C49.EBxx.xxxx
7C:D6:61:xx:xx:xx	7C-D6-61-xx-xx-xx	7CD6.61xx.xxxx
80:35:C1:xx:xx:xx	80-35-C1-xx-xx-xx	8035.C1xx.xxxx
80:AD:16:xx:xx:xx	80-AD-16-xx-xx-xx	80AD.16xx.xxxx
8C:5A:F8:xx:xx:xx	8C-5A-F8-xx-xx-xx	8C5A.F8xx.xxxx
8C:BE:BE:xx:xx:xx	8C-BE-BE-xx-xx-xx	8CBE.BExx.xxxx
90:78:B2:xx:xx:xx	90-78-B2-xx-xx-xx	9078.B2xx.xxxx
94:87:E0:xx:xx:xx	94-87-E0-xx-xx-xx	9487.E0xx.xxxx
98:FA:E3:xx:xx:xx	98-FA-E3-xx-xx-xx	98FA.E3xx.xxxx
9C:2E:A1:xx:xx:xx	9C-2E-A1-xx-xx-xx	9C2E.A1xx.xxxx
9C:99:A0:xx:xx:xx	9C-99-A0-xx-xx-xx	9C99.A0xx.xxxx
A0:86:C6:xx:xx:xx	A0-86-C6-xx-xx-xx	A086.C6xx.xxxx
A4:50:46:xx:xx:xx	A4-50-46-xx-xx-xx	A450.46xx.xxxx
A8:9C:ED:xx:xx:xx	A8-9C-ED-xx-xx-xx	A89C.EDxx.xxxx
AC:C1:EE:xx:xx:xx	AC-C1-EE-xx-xx-xx	ACC1.EExx.xxxx
AC:F7:F3:xx:xx:xx	AC-F7-F3-xx-xx-xx	ACF7.F3xx.xxxx
B0:E2:35:xx:xx:xx	B0-E2-35-xx-xx-xx	B0E2.35xx.xxxx
B4:C4:FC:xx:xx:xx	B4-C4-FC-xx-xx-xx	B4C4.FCxx.xxxx
