00:00:0C:xx:xx:xx	00-00-0C-xx-xx-xx	0000.0Cxx.xxxx
00:01:42:xx:xx:xx	00-01-42-xx-xx-xx	0001.42xx.xxxx
00:01:43:xx:xx:xx	00-01-43-xx-xx-xx	0001.43xx.xxxx
00:01:63:xx:xx:xx	00-01-63-xx-xx-xx	0001.63xx.xxxx
00:01:64:xx:xx:xx	00-01-64-xx-xx-xx	0001.64xx.xxxx
00:01:96:xx:xx:xx	00-01-96-xx-xx-xx	0001.96xx.xxxx
00:01:97:xx:xx:xx	00-01-97-xx-xx-xx	0001.97xx.xxxx
00:01:C7:xx:xx:xx	00-01-C7-xx-xx-xx	0001.C7xx.xxxx
00:01:C9:xx:xx:xx	00-01-C9-xx-xx-xx	0001.C9xx.xxxx
00:02:16:xx:xx:xx	00-02-16-xx-xx-xx	0002.16xx.xxxx
00:02:17:xx:xx:xx	00-02-17-xx-xx-xx	0002.17xx.xxxx
00:02:3D:xx:xx:xx	00-02-3D-xx-xx-xx	0002.3Dxx.xxxx
00:02:4A:xx:xx:xx	00-02-4A-xx-xx-xx	0002.4Axx.xxxx
00:02:4B:xx:xx:xx	00-02-4B-xx-xx-xx	0002.4Bxx.xxxx
00:02:7D:xx:xx:xx	00-02-7D-xx-xx-xx	0002.7Dxx.xxxx
00:02:7E:xx:xx:xx	00-02-7E-xx-xx-xx	0002.7Exx.xxxx
00:02:B9:xx:xx:xx	00-02-B9-xx-xx-xx	0002.B9xx.xxxx
00:02:BA:xx:xx:xx	00-02-BA-xx-xx-xx	0002.BAxx.xxxx
00:02:FC:xx:xx:xx	00-02-FC-xx-xx-xx	0002.FCxx.xxxx
00:02:FD:xx:xx:xx	00-02-FD-xx-xx-xx	0002.FDxx.xxxx
00:03:31:xx:xx:xx	00-03-31-xx-xx-xx	0003.31xx.xxxx
00:03:32:xx:xx:xx	00-03-32-xx-xx-xx	0003.32xx.xxxx
00:03:6B:xx:xx:xx	00-03-6B-xx-xx-xx	0003.6Bxx.xxxx
00:03:6C:xx:xx:xx	00-03-6C-xx-xx-xx	0003.6Cxx.xxxx
00:03:9F:xx:xx:xx	00-03-9F-xx-xx-xx	0003.9Fxx.xxxx
00:03:A0:xx:xx:xx	00-03-A0-xx-xx-xx	0003.A0xx.xxxx
00:03:E3:xx:xx:xx	00-03-E3-xx-xx-xx	0003.E3xx.xxxx
00:03:E4:xx:xx:xx	00-03-E4-xx-xx-xx	0003.E4xx.xxxx
00:03:FD:xx:xx:xx	00-03-FD-xx-xx-xx	0003.FDxx.xxxx
00:03:FE:xx:xx:xx	00-03-FE-xx-xx-xx	0003.FExx.xxxx
00:04:27:xx:xx:xx	00-04-27-xx-xx-xx	0004.27xx.xxxx
00:04:28:xx:xx:xx	00-04-28-xx-xx-xx	0004.28xx.xxxx
00:04:4D:xx:xx:xx	00-04-4D-xx-xx-xx	0004.4Dxx.xxxx
00:04:4E:xx:xx:xx	00-04-4E-xx-xx-xx	0004.4Exx.xxxx
00:04:6D:xx:xx:xx	00-04-6D-xx-xx-xx	0004.6Dxx.xxxx
00:04:6E:xx:xx:xx	00-04-6E-xx-xx-xx	0004.6Exx.xxxx
00:04:9A:xx:xx:xx	00-04-9A-xx-xx-xx	0004.9Axx.xxxx
00:04:9B:xx:xx:xx	00-04-9B-xx-xx-xx	0004.9Bxx.xxxx
00:04:C0:xx:xx:xx	00-04-C0-xx-xx-xx	0004.C0xx.xxxx
00:04:C1:xx:xx:xx	00-04-C1-xx-xx-xx	0004.C1xx.xxxx
00:04:DD:xx:xx:xx	00-04-DD-xx-xx-xx	0004.DDxx.xxxx
00:04:DE:xx:xx:xx	00-04-DE-xx-xx-xx	0004.DExx.xxxx
00:05:00:xx:xx:xx	00-05-00-xx-xx-xx	0005.00xx.xxxx
00:05:01:xx:xx:xx	00-05-01-xx-xx-xx	0005.01xx.xxxx
00:05:31:xx:xx:xx	00-05-31-xx-xx-xx	0005.31xx.xxxx
00:05:32:xx:xx:xx	00-05-32-xx-xx-xx	0005.32xx.xxxx
00:05:5E:xx:xx:xx	00-05-5E-xx-xx-xx	0005.5Exx.xxxx
00:05:5F:xx:xx:xx	00-05-5F-xx-xx-xx	0005.5Fxx.xxxx
00:05:73:xx:xx:xx	00-05-73-xx-xx-xx	0005.73xx.xxxx
00:05:74:xx:xx:xx	00-05-74-xx-xx-xx	0005.74xx.xxxx
00:05:9A:xx:xx:xx	00-05-9A-xx-xx-xx	0005.9Axx.xxxx
00:05:9B:xx:xx:xx	00-05-9B-xx-xx-xx	0005.9Bxx.xxxx
00:05:DC:xx:xx:xx	00-05-DC-xx-xx-xx	0005.DCxx.xxxx
00:05:DD:xx:xx:xx	00-05-DD-xx-xx-xx	0005.DDxx.xxxx
00:06:28:xx:xx:xx	00-06-28-xx-xx-xx	0006.28xx.xxxx
00:06:2A:xx:xx:xx	00-06-2A-xx-xx-xx	0006.2Axx.xxxx
