00:0F:12:xx:xx:xx	00-0F-12-xx-xx-xx	000F.12xx.xxxx
00:12:67:xx:xx:xx	00-12-67-xx-xx-xx	0012.67xx.xxxx
00:19:87:xx:xx:xx	00-19-87-xx-xx-xx	0019.87xx.xxxx
00:1B:D3:xx:xx:xx	00-1B-D3-xx-xx-xx	001B.D3xx.xxxx
00:20:D9:xx:xx:xx	00-20-D9-xx-xx-xx	0020.D9xx.xxxx
00:50:40:xx:xx:xx	00-50-40-xx-xx-xx	0050.40xx.xxxx
00:80:F0:xx:xx:xx	00-80-F0-xx-xx-xx	0080.F0xx.xxxx
00:C0:8F:xx:xx:xx	00-C0-8F-xx-xx-xx	00C0.8Fxx.xxxx
00:D0:60:xx:xx:xx	00-D0-60-xx-xx-xx	00D0.60xx.xxxx
00:E0:5C:xx:xx:xx	00-E0-5C-xx-xx-xx	00E0.5Cxx.xxxx
04:20:9A:xx:xx:xx	04-20-9A-xx-xx-xx	0420.9Axx.xxxx
08:00:23:xx:xx:xx	08-00-23-xx-xx-xx	0800.23xx.xxxx
20:C6:EB:xx:xx:xx	20-C6-EB-xx-xx-xx	20C6.EBxx.xxxx
24:A8:7D:xx:xx:xx	24-A8-7D-xx-xx-xx	24A8.7Dxx.xxxx
30:4C:7E:xx:xx:xx	30-4C-7E-xx-xx-xx	304C.7Exx.xxxx
34:F6:D2:xx:xx:xx	34-F6-D2-xx-xx-xx	34F6.D2xx.xxxx
3C:6F:EA:xx:xx:xx	3C-6F-EA-xx-xx-xx	3C6F.EAxx.xxxx
54:CD:10:xx:xx:xx	54-CD-10-xx-xx-xx	54CD.10xx.xxxx
70:58:12:xx:xx:xx	70-58-12-xx-xx-xx	7058.12xx.xxxx
74:D7:CA:xx:xx:xx	74-D7-CA-xx-xx-xx	74D7.CAxx.xxxx
80:C7:55:xx:xx:xx	80-C7-55-xx-xx-xx	80C7.55xx.xxxx
8C:C1:21:xx:xx:xx	8C-C1-21-xx-xx-xx	8CC1.21xx.xxxx
A8:13:74:xx:xx:xx	A8-13-74-xx-xx-xx	A813.74xx.xxxx
BC:C3:42:xx:xx:xx	BC-C3-42-xx-xx-xx	BCC3.42xx.xxxx
CC:7E:E7:xx:xx:xx	CC-7E-E7-xx-xx-xx	CC7E.E7xx.xxxx
D8:AF:F1:xx:xx:xx	D8-AF-F1-xx-xx-xx	D8AF.F1xx.xxxx
D8:B1:2A:xx:xx:xx	D8-B1-2A-xx-xx-xx	D8B1.2Axx.xxxx
E0:EE:1B:xx:xx:xx	E0-EE-1B-xx-xx-xx	E0EE.1Bxx.xxxx
EC:65:CC:xx:xx:xx	EC-65-CC-xx-xx-xx	EC65.CCxx.xxxx
