00:15:6D:xx:xx:xx	00-15-6D-xx-xx-xx	0015.6Dxx.xxxx
00:27:22:xx:xx:xx	00-27-22-xx-xx-xx	0027.22xx.xxxx
04:18:D6:xx:xx:xx	04-18-D6-xx-xx-xx	0418.D6xx.xxxx
18:E8:29:xx:xx:xx	18-E8-29-xx-xx-xx	18E8.29xx.xxxx
24:A4:3C:xx:xx:xx	24-A4-3C-xx-xx-xx	24A4.3Cxx.xxxx
44:D9:E7:xx:xx:xx	44-D9-E7-xx-xx-xx	44D9.E7xx.xxxx
68:72:51:xx:xx:xx	68-72-51-xx-xx-xx	6872.51xx.xxxx
74:83:C2:xx:xx:xx	74-83-C2-xx-xx-xx	7483.C2xx.xxxx
78:8A:20:xx:xx:xx	78-8A-20-xx-xx-xx	788A.20xx.xxxx
80:2A:A8:xx:xx:xx	80-2A-A8-xx-xx-xx	802A.A8xx.xxxx
B4:FB:E4:xx:xx:xx	B4-FB-E4-xx-xx-xx	B4FB.E4xx.xxxx
DC:9F:DB:xx:xx:xx	DC-9F-DB-xx-xx-xx	DC9F.DBxx.xxxx
E0:63:DA:xx:xx:xx	E0-63-DA-xx-xx-xx	E063.DAxx.xxxx
F0:9F:C2:xx:xx:xx	F0-9F-C2-xx-xx-xx	F09F.C2xx.xxxx
FC:EC:DA:xx:xx:xx	FC-EC-DA-xx-xx-xx	FCEC.DAxx.xxxx
