00:13:49:xx:xx:xx	00-13-49-xx-xx-xx	0013.49xx.xxxx
00:19:CB:xx:xx:xx	00-19-CB-xx-xx-xx	0019.CBxx.xxxx
00:23:F8:xx:xx:xx	00-23-F8-xx-xx-xx	0023.F8xx.xxxx
00:A0:C5:xx:xx:xx	00-A0-C5-xx-xx-xx	00A0.C5xx.xxxx
04:BF:6D:xx:xx:xx	04-BF-6D-xx-xx-xx	04BF.6Dxx.xxxx
10:7B:EF:xx:xx:xx	10-7B-EF-xx-xx-xx	107B.EFxx.xxxx
1C:74:0D:xx:xx:xx	1C-74-0D-xx-xx-xx	1C74.0Dxx.xxxx
28:28:5D:xx:xx:xx	28-28-5D-xx-xx-xx	2828.5Dxx.xxxx
40:4A:03:xx:xx:xx	40-4A-03-xx-xx-xx	404A.03xx.xxxx
4C:9E:FF:xx:xx:xx	4C-9E-FF-xx-xx-xx	4C9E.FFxx.xxxx
50:67:F0:xx:xx:xx	50-67-F0-xx-xx-xx	5067.F0xx.xxxx
54:83:3A:xx:xx:xx	54-83-3A-xx-xx-xx	5483.3Axx.xxxx
58:8B:F3:xx:xx:xx	58-8B-F3-xx-xx-xx	588B.F3xx.xxxx
5C:6A:80:xx:xx:xx	5C-6A-80-xx-xx-xx	5C6A.80xx.xxxx
5C:E2:8C:xx:xx:xx	5C-E2-8C-xx-xx-xx	5CE2.8Cxx.xxxx
5C:F4:AB:xx:xx:xx	5C-F4-AB-xx-xx-xx	5CF4.ABxx.xxxx
60:31:97:xx:xx:xx	60-31-97-xx-xx-xx	6031.97xx.xxxx
8C:59:73:xx:xx:xx	8C-59-73-xx-xx-xx	8C59.73xx.xxxx
90:EF:68:xx:xx:xx	90-EF-68-xx-xx-xx	90EF.68xx.xxxx
98:0D:67:xx:xx:xx	98-0D-67-xx-xx-xx	980D.67xx.xxxx
A0:E4:CB:xx:xx:xx	A0-E4-CB-xx-xx-xx	A0E4.CBxx.xxxx
B0:B2:DC:xx:xx:xx	B0-B2-DC-xx-xx-xx	B0B2.DCxx.xxxx
B8:D5:26:xx:xx:xx	B8-D5-26-xx-xx-xx	B8D5.26xx.xxxx
B8:EC:A3:xx:xx:xx	B8-EC-A3-xx-xx-xx	B8EC.A3xx.xxxx
BC:99:11:xx:xx:xx	BC-99-11-xx-xx-xx	BC99.11xx.xxxx
BC:CF:4F:xx:xx:xx	BC-CF-4F-xx-xx-xx	BCCF.4Fxx.xxxx
C8:54:4B:xx:xx:xx	C8-54-4B-xx-xx-xx	C854.4Bxx.xxxx
C8:6C:87:xx:xx:xx	C8-6C-87-xx-xx-xx	C86C.87xx.xxxx
CC:5D:4E:xx:xx:xx	CC-5D-4E-xx-xx-xx	CC5D.4Exx.xxxx
D8:91:2A:xx:xx:xx	D8-91-2A-xx-xx-xx	D891.2Axx.xxxx
E4:18:6B:xx:xx:xx	E4-18-6B-xx-xx-xx	E418.6Bxx.xxxx
E8:37:7A:xx:xx:xx	E8-37-7A-xx-xx-xx	E837.7Axx.xxxx
EC:43:F6:xx:xx:xx	EC-43-F6-xx-xx-xx	EC43.F6xx.xxxx
FC:F5:28:xx:xx:xx	FC-F5-28-xx-xx-xx	FCF5.28xx.xxxx
